Date,LocCode,NetSales,LocName,Category
06-09-2024,DM3-SEL-028,421.7,Koppiku Damansara 3,Mall
06-09-2024,JAY-SEL-014,683.72,Koppiku Jaya One,Mall
06-09-2024,LBR-KUL-CO-009,391.9,Koppiku Liberal Latte,Commercial
06-09-2024,MR2-KUL-015,246.6,Koppiku BHP MRR2,Commercial
06-09-2024,PMK-KUL-001,1859.8,Koppiku Plaza Mont Kiara,Mix
06-09-2024,SS2-SEL-005,682.69,Koppiku BHP SS2,Mix
06-09-2024,SSQ-SEL-002,1087.7,Koppiku Subang Square,Mix
06-09-2024,STH-SEL-025,348.5,Koppiku South City Plaza,Mall
06-09-2024,TAY-SEL-020,1441,Koppiku Taylors Lakeside,Education
06-09-2024,UIA-KUL-021,1262.6,Koppiku International Islamic University Malaysia,Education
06-09-2024,VIV-KUL-023,338.1,Koppiku Vivo,Mall
07-09-2024,AMP-SEL-027,1219.8,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
07-09-2024,ASA-SEL-017,723.7,Koppiku AEON Big Shah Alam,Mall
07-09-2024,BKP-KUL-018,168,Koppiku BHP Kepong,Transportation
07-09-2024,DM3-SEL-028,429.6,Koppiku Damansara 3,Mall
07-09-2024,JAY-SEL-014,573.01,Koppiku Jaya One,Mall
07-09-2024,MR2-KUL-015,290.8,Koppiku BHP MRR2,Commercial
07-09-2024,PMK-KUL-001,1861.58,Koppiku Plaza Mont Kiara,Mix
07-09-2024,SS2-SEL-005,399.9,Koppiku BHP SS2,Mix
07-09-2024,SSQ-SEL-002,876.3,Koppiku Subang Square,Mix
07-09-2024,STH-SEL-025,360.7,Koppiku South City Plaza,Mall
07-09-2024,TAY-SEL-020,576.9,Koppiku Taylors Lakeside,Education
07-09-2024,UIA-KUL-021,298.5,Koppiku International Islamic University Malaysia,Education
07-09-2024,VIV-KUL-023,153.8,Koppiku Vivo,Mall
08-09-2024,AMP-SEL-027,1664.5,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
08-09-2024,ASA-SEL-017,1154.1,Koppiku AEON Big Shah Alam,Mall
08-09-2024,BKP-KUL-018,128.4,Koppiku BHP Kepong,Transportation
08-09-2024,DM3-SEL-028,326.7,Koppiku Damansara 3,Mall
08-09-2024,JAY-SEL-014,539.01,Koppiku Jaya One,Mall
08-09-2024,MR2-KUL-015,347.3,Koppiku BHP MRR2,Commercial
08-09-2024,PMK-KUL-001,1946.68,Koppiku Plaza Mont Kiara,Mix
08-09-2024,SS2-SEL-005,615.3,Koppiku BHP SS2,Mix
08-09-2024,SSQ-SEL-002,736,Koppiku Subang Square,Mix
08-09-2024,STH-SEL-025,427.2,Koppiku South City Plaza,Mall
08-09-2024,TAY-SEL-020,448,Koppiku Taylors Lakeside,Education
08-09-2024,VIV-KUL-023,70,Koppiku Vivo,Mall
09-09-2024,AMP-SEL-027,533.8,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
09-09-2024,ASA-SEL-017,686.28,Koppiku AEON Big Shah Alam,Mall
09-09-2024,BKP-KUL-018,130.2,Koppiku BHP Kepong,Transportation
09-09-2024,DM3-SEL-028,257.7,Koppiku Damansara 3,Mall
09-09-2024,JAY-SEL-014,437.22,Koppiku Jaya One,Mall
09-09-2024,LBR-KUL-CO-009,342,Koppiku Liberal Latte,Commercial
09-09-2024,MR2-KUL-015,183.9,Koppiku BHP MRR2,Commercial
09-09-2024,NOV-KUL-026,130.8,Koppiku Novo,Mall
09-09-2024,PMK-KUL-001,2140.06,Koppiku Plaza Mont Kiara,Mix
09-09-2024,SS2-SEL-005,415.6,Koppiku BHP SS2,Mix
09-09-2024,SSQ-SEL-002,861.2,Koppiku Subang Square,Mix
09-09-2024,STH-SEL-025,387.2,Koppiku South City Plaza,Mall
09-09-2024,TAY-SEL-020,1532.4,Koppiku Taylors Lakeside,Education
09-09-2024,UIA-KUL-021,887.19,Koppiku International Islamic University Malaysia,Education
09-09-2024,VIV-KUL-023,384.6,Koppiku Vivo,Mall
10-09-2024,AMP-SEL-027,613.8,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
10-09-2024,ASA-SEL-017,352.9,Koppiku AEON Big Shah Alam,Mall
10-09-2024,BKP-KUL-018,118.5,Koppiku BHP Kepong,Transportation
10-09-2024,DM3-SEL-028,404,Koppiku Damansara 3,Mall
10-09-2024,JAY-SEL-014,633.02,Koppiku Jaya One,Mall
10-09-2024,LBR-KUL-CO-009,243.4,Koppiku Liberal Latte,Commercial
10-09-2024,MR2-KUL-015,237.9,Koppiku BHP MRR2,Commercial
10-09-2024,NOV-KUL-026,100.2,Koppiku Novo,Mall
10-09-2024,PMK-KUL-001,1712.9,Koppiku Plaza Mont Kiara,Mix
10-09-2024,SS2-SEL-005,504.8,Koppiku BHP SS2,Mix
10-09-2024,SSQ-SEL-002,721.8,Koppiku Subang Square,Mix
10-09-2024,STH-SEL-025,398.8,Koppiku South City Plaza,Mall
10-09-2024,TAY-SEL-020,1147.8,Koppiku Taylors Lakeside,Education
10-09-2024,UIA-KUL-021,925.01,Koppiku International Islamic University Malaysia,Education
10-09-2024,VIV-KUL-023,366.2,Koppiku Vivo,Mall
11-09-2024,AMP-SEL-027,925.5,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
11-09-2024,ASA-SEL-017,463.5,Koppiku AEON Big Shah Alam,Mall
11-09-2024,BKP-KUL-018,127.3,Koppiku BHP Kepong,Transportation
11-09-2024,BLM-KUL-013,63.6,Koppiku Bloomsvale,Mall
11-09-2024,CMK-KUL-004,1465.2,Koppiku Central Market,Tourism
11-09-2024,DM3-SEL-028,471.4,Koppiku Damansara 3,Mall
11-09-2024,JAY-SEL-014,744.01,Koppiku Jaya One,Mall
11-09-2024,LBR-KUL-CO-009,325.8,Koppiku Liberal Latte,Commercial
11-09-2024,MR2-KUL-015,245.7,Koppiku BHP MRR2,Commercial
11-09-2024,NOV-KUL-026,161.5,Koppiku Novo,Mall
11-09-2024,PMK-KUL-001,2016.58,Koppiku Plaza Mont Kiara,Mix
11-09-2024,SS2-SEL-005,377.5,Koppiku BHP SS2,Mix
11-09-2024,SSQ-SEL-002,668.8,Koppiku Subang Square,Mix
11-09-2024,STH-SEL-025,535.1,Koppiku South City Plaza,Mall
11-09-2024,TAY-SEL-020,1840.25,Koppiku Taylors Lakeside,Education
11-09-2024,UIA-KUL-021,1250.4,Koppiku International Islamic University Malaysia,Education
11-09-2024,VIV-KUL-023,312.5,Koppiku Vivo,Mall
12-09-2024,AMP-SEL-027,636.7,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
12-09-2024,ASA-SEL-017,759.5,Koppiku AEON Big Shah Alam,Mall
12-09-2024,BKP-KUL-018,117.6,Koppiku BHP Kepong,Transportation
12-09-2024,BLM-KUL-013,108.9,Koppiku Bloomsvale,Mall
12-09-2024,CMK-KUL-004,988.3,Koppiku Central Market,Tourism
12-09-2024,DM3-SEL-028,414.2,Koppiku Damansara 3,Mall
12-09-2024,JAY-SEL-014,819.65,Koppiku Jaya One,Mall
12-09-2024,LBR-KUL-CO-009,281.8,Koppiku Liberal Latte,Commercial
12-09-2024,MCL-KUL-035,1836.1,Koppiku Maxim Citylights,Mall
12-09-2024,MR2-KUL-015,225.2,Koppiku BHP MRR2,Commercial
12-09-2024,NOV-KUL-026,157.4,Koppiku Novo,Mall
12-09-2024,PMK-KUL-001,2206.3,Koppiku Plaza Mont Kiara,Mix
12-09-2024,SS2-SEL-005,656,Koppiku BHP SS2,Mix
12-09-2024,SSQ-SEL-002,1107.18,Koppiku Subang Square,Mix
12-09-2024,STH-SEL-025,308.9,Koppiku South City Plaza,Mall
12-09-2024,TAY-SEL-020,1386.5,Koppiku Taylors Lakeside,Education
12-09-2024,UIA-KUL-021,732.21,Koppiku International Islamic University Malaysia,Education
12-09-2024,VIV-KUL-023,321.2,Koppiku Vivo,Mall
12-09-2024,YSP-SEL-CO-033,15,Koppiku Yes Sunway Pyramid,Mall
13-09-2024,AMP-SEL-027,832.4,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
13-09-2024,ASA-SEL-017,628.5,Koppiku AEON Big Shah Alam,Mall
13-09-2024,BKP-KUL-018,63.5,Koppiku BHP Kepong,Transportation
13-09-2024,BLM-KUL-013,91.3,Koppiku Bloomsvale,Mall
13-09-2024,CMK-KUL-004,986.9,Koppiku Central Market,Tourism
13-09-2024,DM3-SEL-028,468.4,Koppiku Damansara 3,Mall
13-09-2024,JAY-SEL-014,706.79,Koppiku Jaya One,Mall
13-09-2024,LBR-KUL-CO-009,419.1,Koppiku Liberal Latte,Commercial
13-09-2024,MAR-KUL-003,1150.5,Koppiku Menara Mara,Commercial
13-09-2024,MCL-KUL-035,1573.6,Koppiku Maxim Citylights,Mall
13-09-2024,NOV-KUL-026,72.9,Koppiku Novo,Mall
13-09-2024,PMK-KUL-001,1332.8,Koppiku Plaza Mont Kiara,Mix
13-09-2024,RCH-KUL-006,478.3,Koppiku Raja Chulan Monorail,Mix
13-09-2024,SS2-SEL-005,321.3,Koppiku BHP SS2,Mix
13-09-2024,SSQ-SEL-002,979.84,Koppiku Subang Square,Mix
13-09-2024,STH-SEL-025,444.6,Koppiku South City Plaza,Mall
13-09-2024,TAY-SEL-020,1141.7,Koppiku Taylors Lakeside,Education
13-09-2024,UIA-KUL-021,883.57,Koppiku International Islamic University Malaysia,Education
13-09-2024,VIV-KUL-023,399.2,Koppiku Vivo,Mall
13-09-2024,YSP-SEL-CO-033,8,Koppiku Yes Sunway Pyramid,Mall
14-09-2024,AMP-SEL-027,1114.25,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
14-09-2024,ASA-SEL-017,861,Koppiku AEON Big Shah Alam,Mall
14-09-2024,BKP-KUL-018,100.5,Koppiku BHP Kepong,Transportation
14-09-2024,BLM-KUL-013,103.8,Koppiku Bloomsvale,Mall
14-09-2024,CMK-KUL-004,1762,Koppiku Central Market,Tourism
14-09-2024,DM3-SEL-028,333.5,Koppiku Damansara 3,Mall
14-09-2024,JAY-SEL-014,679.81,Koppiku Jaya One,Mall
14-09-2024,MAR-KUL-003,467.8,Koppiku Menara Mara,Commercial
14-09-2024,MCL-KUL-035,2001.8,Koppiku Maxim Citylights,Mall
14-09-2024,MR2-KUL-015,333.2,Koppiku BHP MRR2,Commercial
14-09-2024,NOV-KUL-026,150.6,Koppiku Novo,Mall
14-09-2024,PMK-KUL-001,1394.18,Koppiku Plaza Mont Kiara,Mix
14-09-2024,RCH-KUL-006,274.2,Koppiku Raja Chulan Monorail,Mix
14-09-2024,SS2-SEL-005,455.5,Koppiku BHP SS2,Mix
14-09-2024,SSQ-SEL-002,751.3,Koppiku Subang Square,Mix
14-09-2024,STH-SEL-025,254.2,Koppiku South City Plaza,Mall
14-09-2024,TAY-SEL-020,346.75,Koppiku Taylors Lakeside,Education
14-09-2024,UIA-KUL-021,157.4,Koppiku International Islamic University Malaysia,Education
14-09-2024,VIV-KUL-023,158.2,Koppiku Vivo,Mall
14-09-2024,YSP-SEL-CO-033,51.8,Koppiku Yes Sunway Pyramid,Mall
15-09-2024,AMP-SEL-027,1043.7,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
15-09-2024,ASA-SEL-017,706.5,Koppiku AEON Big Shah Alam,Mall
15-09-2024,BKP-KUL-018,108.7,Koppiku BHP Kepong,Transportation
15-09-2024,BLM-KUL-013,183.1,Koppiku Bloomsvale,Mall
15-09-2024,CMK-KUL-004,2205.6,Koppiku Central Market,Tourism
15-09-2024,DM3-SEL-028,353.3,Koppiku Damansara 3,Mall
15-09-2024,JAY-SEL-014,342.6,Koppiku Jaya One,Mall
15-09-2024,MAR-KUL-003,458.4,Koppiku Menara Mara,Commercial
15-09-2024,MCL-KUL-035,1281.7,Koppiku Maxim Citylights,Mall
15-09-2024,MR2-KUL-015,260.6,Koppiku BHP MRR2,Commercial
15-09-2024,NOV-KUL-026,149.2,Koppiku Novo,Mall
15-09-2024,PMK-KUL-001,1100.97,Koppiku Plaza Mont Kiara,Mix
15-09-2024,SS2-SEL-005,370.1,Koppiku BHP SS2,Mix
15-09-2024,SSQ-SEL-002,894.3,Koppiku Subang Square,Mix
15-09-2024,STH-SEL-025,175.4,Koppiku South City Plaza,Mall
15-09-2024,TAY-SEL-020,253.4,Koppiku Taylors Lakeside,Education
15-09-2024,TSB-KUL-CO-022,304.2,Koppiku TTDI,Commercial
15-09-2024,VIV-KUL-023,129.7,Koppiku Vivo,Mall
15-09-2024,YSP-SEL-CO-033,8,Koppiku Yes Sunway Pyramid,Mall
16-09-2024,AMP-SEL-027,1035.95,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
16-09-2024,ASA-SEL-017,580.55,Koppiku AEON Big Shah Alam,Mall
16-09-2024,BKP-KUL-018,98.3,Koppiku BHP Kepong,Transportation
16-09-2024,BLM-KUL-013,199.4,Koppiku Bloomsvale,Mall
16-09-2024,CMK-KUL-004,2197.4,Koppiku Central Market,Tourism
16-09-2024,DM3-SEL-028,244.7,Koppiku Damansara 3,Mall
16-09-2024,JAY-SEL-014,285.13,Koppiku Jaya One,Mall
16-09-2024,MAR-KUL-003,407.9,Koppiku Menara Mara,Commercial
16-09-2024,MCL-KUL-035,1507.9,Koppiku Maxim Citylights,Mall
16-09-2024,MR2-KUL-015,311.2,Koppiku BHP MRR2,Commercial
16-09-2024,NOV-KUL-026,157.6,Koppiku Novo,Mall
16-09-2024,PMK-KUL-001,1267.87,Koppiku Plaza Mont Kiara,Mix
16-09-2024,RCH-KUL-006,417.68,Koppiku Raja Chulan Monorail,Mix
16-09-2024,SS2-SEL-005,375.3,Koppiku BHP SS2,Mix
16-09-2024,SSQ-SEL-002,563.28,Koppiku Subang Square,Mix
16-09-2024,STH-SEL-025,230.5,Koppiku South City Plaza,Mall
16-09-2024,TAY-SEL-020,581.4,Koppiku Taylors Lakeside,Education
16-09-2024,TSB-KUL-CO-022,369.6,Koppiku TTDI,Commercial
16-09-2024,VIV-KUL-023,189.4,Koppiku Vivo,Mall
17-09-2024,AMP-SEL-027,880.7,Koppiku AEON Big Ampang (closes on 31/10/2025),Mall
17-09-2024,ASA-SEL-017,544.88,Koppiku AEON Big Shah Alam,Mall
17-09-2024,BKP-KUL-018,64.8,Koppiku BHP Kepong,Transportation
17-09-2024,BLM-KUL-013,101.6,Koppiku Bloomsvale,Mall
17-09-2024,CMK-KUL-004,1779.7,Koppiku Central Market,Tourism
17-09-2024,DM3-SEL-028,152.6,Koppiku Damansara 3,Mall
17-09-2024,JAY-SEL-014,428.62,Koppiku Jaya One,Mall
17-09-2024,MAR-KUL-003,525.7,Koppiku Menara Mara,Commercial
17-09-2024,MCL-KUL-035,1408,Koppiku Maxim Citylights,Mall
17-09-2024,MR2-KUL-015,264.8,Koppiku BHP MRR2,Commercial
17-09-2024,NOV-KUL-026,229.7,Koppiku Novo,Mall
17-09-2024,PMK-KUL-001,1164.3,Koppiku Plaza Mont Kiara,Mix
